1	124.202.193.150	2014-07-18 16:29:49
2	124.202.193.150	2014-07-18 16:29:52
5	124.202.193.150	2014-07-18 16:29:55
7	124.202.193.150	2014-07-18 16:29:57
9	124.202.193.150	2014-07-18 16:30:00
11	124.202.193.150	2014-07-18 16:30:02
13	124.202.193.150	2014-07-18 16:30:04
15	124.202.193.150	2014-07-18 16:30:07
17	124.202.193.150	2014-07-18 16:30:10
19	124.202.193.150	2014-07-18 16:30:12
2	124.202.193.150	2014-07-18 16:30:14
7	124.202.193.150	2014-07-18 16:30:17
9	124.202.193.150	2014-07-18 16:30:19
13	124.202.193.150	2014-07-18 16:30:24
19	124.202.193.150	2014-07-18 16:30:26
1	124.202.193.150	2014-07-18 16:32:04
2	124.202.193.150	2014-07-18 16:32:07
5	124.202.193.150	2014-07-18 16:32:09
1	106.37.225.179	2014-07-18 16:32:10
7	124.202.193.150	2014-07-18 16:32:12
2	106.37.225.179	2014-07-18 16:32:14
9	124.202.193.150	2014-07-18 16:32:15
4	106.37.225.179	2014-07-18 16:32:18
10	124.202.193.150	2014-07-18 16:32:20
6	106.37.225.179	2014-07-18 16:32:22
13	124.202.193.150	2014-07-18 16:32:23
8	106.37.225.179	2014-07-18 16:32:25
10	106.37.225.179	2014-07-18 16:32:28
13	106.37.225.179	2014-07-18 16:32:33
14	106.37.225.179	2014-07-18 16:32:44
17	106.37.225.179	2014-07-18 16:32:50
18	106.37.225.179	2014-07-18 16:32:54
1	106.37.225.179	2014-07-18 16:33:00
4	106.37.225.179	2014-07-18 16:33:03
10	106.37.225.179	2014-07-18 16:33:07
14	106.37.225.179	2014-07-18 16:33:10
17	106.37.225.179	2014-07-18 16:33:15
0	106.37.225.179	2014-07-18 16:36:26
2	106.37.225.179	2014-07-18 16:36:29
4	106.37.225.179	2014-07-18 16:36:32
6	106.37.225.179	2014-07-18 16:36:34
8	106.37.225.179	2014-07-18 16:36:36
10	106.37.225.179	2014-07-18 16:36:38
13	106.37.225.179	2014-07-18 16:36:40
14	106.37.225.179	2014-07-18 16:36:42
16	106.37.225.179	2014-07-18 16:36:44
18	106.37.225.179	2014-07-18 16:36:48
0	106.37.225.179	2014-07-18 16:36:51
6	106.37.225.179	2014-07-18 16:36:55
8	106.37.225.179	2014-07-18 16:36:58
14	106.37.225.179	2014-07-18 16:37:00
16	106.37.225.179	2014-07-18 16:37:07
1	106.37.225.179	2014-07-18 16:58:14
1	106.37.225.179	2014-07-18 16:58:27
3	106.37.225.179	2014-07-18 16:58:30
5	106.37.225.179	2014-07-18 16:58:37
6	106.37.225.179	2014-07-18 16:58:40
8	106.37.225.179	2014-07-18 16:58:44
10	106.37.225.179	2014-07-18 16:58:47
13	106.37.225.179	2014-07-18 16:58:50
14	106.37.225.179	2014-07-18 16:58:53
16	106.37.225.179	2014-07-18 16:58:57
18	106.37.225.179	2014-07-18 16:59:00
1	106.37.225.179	2014-07-18 16:59:15
5	106.37.225.179	2014-07-18 16:59:18
8	106.37.225.179	2014-07-18 16:59:21
13	106.37.225.179	2014-07-18 16:59:26
16	106.37.225.179	2014-07-18 16:59:30
1	106.37.225.179	2014-07-18 17:03:05
3	106.37.225.179	2014-07-18 17:03:07
5	106.37.225.179	2014-07-18 17:03:11
7	106.37.225.179	2014-07-18 17:03:14
8	106.37.225.179	2014-07-18 17:03:17
10	106.37.225.179	2014-07-18 17:03:19
13	106.37.225.179	2014-07-18 17:03:26
14	106.37.225.179	2014-07-18 17:03:30
16	106.37.225.179	2014-07-18 17:03:33
18	106.37.225.179	2014-07-18 17:03:36
3	106.37.225.179	2014-07-18 17:03:42
5	106.37.225.179	2014-07-18 17:03:45
10	106.37.225.179	2014-07-18 17:03:50
13	106.37.225.179	2014-07-18 17:03:55
18	106.37.225.179	2014-07-18 17:03:57
1	106.37.225.179	2014-07-18 17:10:16
3	106.37.225.179	2014-07-18 17:10:18
5	106.37.225.179	2014-07-18 17:10:20
7	106.37.225.179	2014-07-18 17:10:23
9	106.37.225.179	2014-07-18 17:10:26
11	106.37.225.179	2014-07-18 17:10:28
13	106.37.225.179	2014-07-18 17:10:30
15	106.37.225.179	2014-07-18 17:10:32
17	106.37.225.179	2014-07-18 17:10:34
19	106.37.225.179	2014-07-18 17:10:36
3	106.37.225.179	2014-07-18 17:10:38
7	106.37.225.179	2014-07-18 17:10:40
9	106.37.225.179	2014-07-18 17:10:42
13	106.37.225.179	2014-07-18 17:10:44
17	106.37.225.179	2014-07-18 17:10:46
1	106.37.225.179	2014-07-18 17:13:38
3	106.37.225.179	2014-07-18 17:13:40
5	106.37.225.179	2014-07-18 17:13:43
7	106.37.225.179	2014-07-18 17:13:45
9	106.37.225.179	2014-07-18 17:13:47
11	106.37.225.179	2014-07-18 17:13:49
13	106.37.225.179	2014-07-18 17:13:52
15	106.37.225.179	2014-07-18 17:13:54
17	106.37.225.179	2014-07-18 17:13:56
19	106.37.225.179	2014-07-18 17:14:01
3	106.37.225.179	2014-07-18 17:14:03
7	106.37.225.179	2014-07-18 17:14:06
11	106.37.225.179	2014-07-18 17:14:09
15	106.37.225.179	2014-07-18 17:14:11
19	106.37.225.179	2014-07-18 17:14:13
1	106.37.225.179	2014-07-18 17:32:08
3	106.37.225.179	2014-07-18 17:32:12
5	106.37.225.179	2014-07-18 17:32:28
7	106.37.225.179	2014-07-18 17:32:34
9	106.37.225.179	2014-07-18 17:32:37
11	106.37.225.179	2014-07-18 17:32:47
13	106.37.225.179	2014-07-18 17:32:49
15	106.37.225.179	2014-07-18 17:32:51
17	106.37.225.179	2014-07-18 17:32:54
19	106.37.225.179	2014-07-18 17:32:57
3	106.37.225.179	2014-07-18 17:32:59
7	106.37.225.179	2014-07-18 17:33:04
11	106.37.225.179	2014-07-18 17:33:06
15	106.37.225.179	2014-07-18 17:33:08
19	106.37.225.179	2014-07-18 17:33:11
1	124.202.193.150	2014-07-18 18:04:51
3	124.202.193.150	2014-07-18 18:04:53
5	124.202.193.150	2014-07-18 18:04:56
7	124.202.193.150	2014-07-18 18:04:58
9	124.202.193.150	2014-07-18 18:05:00
11	124.202.193.150	2014-07-18 18:05:02
13	124.202.193.150	2014-07-18 18:05:04
15	124.202.193.150	2014-07-18 18:05:07
17	124.202.193.150	2014-07-18 18:05:09
19	124.202.193.150	2014-07-18 18:05:11
3	124.202.193.150	2014-07-18 18:05:14
7	124.202.193.150	2014-07-18 18:05:16
11	124.202.193.150	2014-07-18 18:05:18
15	124.202.193.150	2014-07-18 18:05:21
1	106.37.225.179	2014-07-18 18:05:21
19	124.202.193.150	2014-07-18 18:05:23
3	106.37.225.179	2014-07-18 18:05:24
5	106.37.225.179	2014-07-18 18:05:26
7	106.37.225.179	2014-07-18 18:05:28
9	106.37.225.179	2014-07-18 18:05:31
10	106.37.225.179	2014-07-18 18:05:34
12	106.37.225.179	2014-07-18 18:05:37
15	106.37.225.179	2014-07-18 18:05:41
17	106.37.225.179	2014-07-18 18:05:43
19	106.37.225.179	2014-07-18 18:05:45
3	106.37.225.179	2014-07-18 18:05:47
7	106.37.225.179	2014-07-18 18:05:51
10	106.37.225.179	2014-07-18 18:05:53
15	106.37.225.179	2014-07-18 18:05:55
19	106.37.225.179	2014-07-18 18:05:57
1	117.136.0.149	2014-07-18 18:27:39
3	117.136.0.149	2014-07-18 18:27:43
5	117.136.0.149	2014-07-18 18:27:48
6	117.136.0.149	2014-07-18 18:28:07
9	117.136.0.149	2014-07-18 18:28:12
11	117.136.0.149	2014-07-18 18:28:27
1	61.148.242.95	2014-07-18 18:28:30
13	117.136.0.149	2014-07-18 18:28:31
14	117.136.0.149	2014-07-18 18:28:35
16	117.136.0.149	2014-07-18 18:28:38
19	117.136.0.149	2014-07-18 18:28:50
3	117.136.0.149	2014-07-18 18:28:59
1	61.148.243.1	2014-07-18 18:28:59
3	61.148.243.1	2014-07-18 18:29:00
5	117.136.0.149	2014-07-18 18:29:03
11	117.136.0.149	2014-07-18 18:29:06
13	117.136.0.149	2014-07-18 18:29:10
16	117.136.0.149	2014-07-18 18:29:13
1	106.37.0.252	2014-07-18 18:30:39
0	123.116.70.125	2014-07-18 18:30:40
3	106.37.0.252	2014-07-18 18:30:41
3	123.116.70.125	2014-07-18 18:30:43
5	106.37.0.252	2014-07-18 18:30:43
7	106.37.0.252	2014-07-18 18:30:46
5	123.116.70.125	2014-07-18 18:30:47
9	106.37.0.252	2014-07-18 18:30:48
7	123.116.70.125	2014-07-18 18:30:51
13	106.37.0.252	2014-07-18 18:30:52
15	106.37.0.252	2014-07-18 18:30:54
8	123.116.70.125	2014-07-18 18:30:56
19	106.37.0.252	2014-07-18 18:30:59
11	123.116.70.125	2014-07-18 18:31:00
11	106.37.0.252	2014-07-18 18:31:00
13	123.116.70.125	2014-07-18 18:31:04
17	106.37.0.252	2014-07-18 18:31:05
14	123.116.70.125	2014-07-18 18:31:07
16	123.116.70.125	2014-07-18 18:31:11
15	106.37.0.252	2014-07-18 18:31:11
3	106.37.0.252	2014-07-18 18:31:11
19	123.116.70.125	2014-07-18 18:31:14
11	106.37.0.252	2014-07-18 18:31:14
7	106.37.0.252	2014-07-18 18:31:17
19	106.37.0.252	2014-07-18 18:31:20
3	123.116.70.125	2014-07-18 18:31:23
7	123.116.70.125	2014-07-18 18:31:28
11	123.116.70.125	2014-07-18 18:31:31
13	123.116.70.125	2014-07-18 18:31:33
16	123.116.70.125	2014-07-18 18:31:38
1	114.242.249.10	2014-07-18 18:31:47
3	114.242.249.10	2014-07-18 18:31:50
5	114.242.249.10	2014-07-18 18:31:54
7	114.242.249.10	2014-07-18 18:31:57
9	114.242.249.10	2014-07-18 18:32:01
